iter,split,loss,lr,cpsnr,psnr,ssim,time
1,train,0.114290,2.000e-04,,,,1.7
2,train,0.086121,2.000e-04,,,,2.2
3,train,0.066544,1.999e-04,,,,2.6
4,train,0.064215,1.998e-04,,,,3.1
5,train,0.051611,1.996e-04,,,,3.6
6,train,0.046866,1.995e-04,,,,4.2
7,train,0.042294,1.992e-04,,,,4.7
8,train,0.041847,1.989e-04,,,,5.2
9,train,0.041444,1.986e-04,,,,5.7
10,train,0.036588,1.982e-04,,,,6.2
11,train,0.035697,1.978e-04,,,,6.6
12,train,0.033207,1.974e-04,,,,7.2
13,train,0.028173,1.969e-04,,,,7.7
14,train,0.035284,1.963e-04,,,,8.3
15,train,0.024485,1.957e-04,,,,8.8
16,train,0.028811,1.951e-04,,,,9.3
17,train,0.029348,1.944e-04,,,,9.8
18,train,0.031373,1.937e-04,,,,10.2
19,train,0.028246,1.930e-04,,,,10.7
20,train,0.023835,1.922e-04,,,,11.3
21,train,0.023333,1.914e-04,,,,11.8
22,train,0.023261,1.905e-04,,,,12.2
23,train,0.022474,1.896e-04,,,,12.8
24,train,0.019298,1.886e-04,,,,13.2
25,train,0.018622,1.876e-04,,,,13.7
26,train,0.022910,1.866e-04,,,,14.2
27,train,0.037744,1.855e-04,,,,14.7
28,train,0.023480,1.844e-04,,,,15.2
29,train,0.018625,1.833e-04,,,,15.6
30,train,0.022633,1.821e-04,,,,16.1
31,train,0.023827,1.809e-04,,,,16.6
32,train,0.020700,1.797e-04,,,,17.1
33,train,0.022649,1.784e-04,,,,17.6
34,train,0.022666,1.771e-04,,,,18.1
35,train,0.015904,1.757e-04,,,,18.6
36,train,0.025994,1.743e-04,,,,19.1
37,train,0.017731,1.729e-04,,,,19.7
38,train,0.021132,1.714e-04,,,,20.1
39,train,0.019511,1.700e-04,,,,20.7
40,train,0.024593,1.685e-04,,,,21.2
41,train,0.022023,1.669e-04,,,,21.7
42,train,0.025859,1.653e-04,,,,22.2
43,train,0.024262,1.637e-04,,,,22.7
44,train,0.027575,1.621e-04,,,,23.3
45,train,0.011912,1.605e-04,,,,23.8
46,train,0.018924,1.588e-04,,,,24.3
47,train,0.019038,1.571e-04,,,,24.8
48,train,0.026715,1.553e-04,,,,25.3
49,train,0.021733,1.536e-04,,,,25.7
50,train,0.020555,1.518e-04,,,,26.2
51,train,0.018535,1.500e-04,,,,26.8
52,train,0.023410,1.482e-04,,,,27.3
53,train,0.012632,1.463e-04,,,,27.8
54,train,0.019886,1.445e-04,,,,28.3
55,train,0.016322,1.426e-04,,,,28.7
56,train,0.019775,1.407e-04,,,,29.2
57,train,0.018236,1.388e-04,,,,29.8
58,train,0.024558,1.368e-04,,,,30.3
59,train,0.016711,1.349e-04,,,,30.9
60,train,0.015736,1.329e-04,,,,31.4
61,train,0.018182,1.309e-04,,,,31.9
62,train,0.013733,1.289e-04,,,,32.4
63,train,0.017878,1.269e-04,,,,32.9
64,train,0.016280,1.249e-04,,,,33.4
65,train,0.015296,1.228e-04,,,,33.9
66,train,0.017188,1.208e-04,,,,34.4
67,train,0.024717,1.187e-04,,,,34.8
68,train,0.015475,1.167e-04,,,,35.3
69,train,0.017429,1.146e-04,,,,35.8
70,train,0.022803,1.125e-04,,,,36.3
71,train,0.027928,1.105e-04,,,,36.9
72,train,0.018248,1.084e-04,,,,37.4
73,train,0.020243,1.063e-04,,,,37.9
74,train,0.022466,1.042e-04,,,,38.4
75,train,0.009549,1.021e-04,,,,39.0
76,train,0.016417,1.000e-04,,,,39.5
77,train,0.018053,9.791e-05,,,,40.1
78,train,0.021299,9.581e-05,,,,40.7
79,train,0.017092,9.372e-05,,,,41.1
80,train,0.015098,9.163e-05,,,,41.7
81,train,0.014397,8.955e-05,,,,42.2
82,train,0.020126,8.747e-05,,,,42.8
83,train,0.016659,8.539e-05,,,,43.4
84,train,0.016415,8.332e-05,,,,43.9
85,train,0.012529,8.126e-05,,,,44.4
86,train,0.015946,7.921e-05,,,,44.9
87,train,0.017249,7.716e-05,,,,45.5
88,train,0.018396,7.513e-05,,,,46.0
89,train,0.021332,7.311e-05,,,,46.6
90,train,0.014290,7.110e-05,,,,47.1
91,train,0.011746,6.910e-05,,,,47.6
92,train,0.014330,6.711e-05,,,,48.1
93,train,0.012595,6.514e-05,,,,48.7
94,train,0.015607,6.319e-05,,,,49.2
95,train,0.016150,6.125e-05,,,,49.7
96,train,0.015533,5.933e-05,,,,50.3
97,train,0.024429,5.742e-05,,,,50.8
98,train,0.010130,5.554e-05,,,,51.4
99,train,0.012250,5.367e-05,,,,51.9
100,train,0.014525,5.182e-05,,,,52.4
101,train,0.021160,5.000e-05,,,,53.0
102,train,0.015900,4.820e-05,,,,53.5
103,train,0.018365,4.642e-05,,,,54.0
104,train,0.024265,4.466e-05,,,,54.6
105,train,0.016942,4.293e-05,,,,55.1
106,train,0.017081,4.122e-05,,,,55.6
107,train,0.019141,3.954e-05,,,,56.2
108,train,0.019499,3.789e-05,,,,56.7
109,train,0.020532,3.626e-05,,,,57.2
110,train,0.016405,3.466e-05,,,,57.7
111,train,0.017782,3.309e-05,,,,58.2
112,train,0.014166,3.155e-05,,,,58.8
113,train,0.014254,3.003e-05,,,,59.4
114,train,0.016109,2.855e-05,,,,59.9
115,train,0.012179,2.710e-05,,,,60.4
116,train,0.010463,2.569e-05,,,,61.0
117,train,0.019459,2.430e-05,,,,61.5
118,train,0.021484,2.295e-05,,,,62.0
119,train,0.019512,2.163e-05,,,,62.6
120,train,0.008832,2.035e-05,,,,63.1
121,train,0.016360,1.910e-05,,,,63.6
122,train,0.021751,1.789e-05,,,,64.1
123,train,0.014617,1.671e-05,,,,64.7
124,train,0.017599,1.557e-05,,,,65.2
125,train,0.011913,1.446e-05,,,,65.7
126,train,0.021459,1.340e-05,,,,66.2
127,train,0.030477,1.237e-05,,,,66.7
128,train,0.013158,1.138e-05,,,,67.2
129,train,0.017406,1.043e-05,,,,67.7
130,train,0.014387,9.517e-06,,,,68.2
131,train,0.021343,8.645e-06,,,,68.8
132,train,0.014228,7.814e-06,,,,69.4
133,train,0.013693,7.022e-06,,,,70.0
134,train,0.012872,6.272e-06,,,,70.7
135,train,0.014131,5.562e-06,,,,71.3
136,train,0.024785,4.894e-06,,,,71.9
137,train,0.015789,4.268e-06,,,,72.6
138,train,0.019297,3.684e-06,,,,73.1
139,train,0.023481,3.142e-06,,,,73.8
140,train,0.018616,2.642e-06,,,,74.3
141,train,0.021321,2.185e-06,,,,74.9
142,train,0.019620,1.771e-06,,,,75.4
143,train,0.016365,1.400e-06,,,,75.9
144,train,0.017059,1.073e-06,,,,76.5
145,train,0.010324,7.885e-07,,,,77.2
146,train,0.013974,5.478e-07,,,,77.7
147,train,0.018802,3.507e-07,,,,78.2
148,train,0.025105,1.973e-07,,,,78.7
149,train,0.024919,8.772e-08,,,,79.2
150,train,0.009383,2.193e-08,,,,79.7
1,train,0.114290,2.000e-04,,,,1.7
2,train,0.086121,2.000e-04,,,,2.2
3,train,0.066543,1.999e-04,,,,2.7
4,train,0.064212,1.998e-04,,,,3.2
5,train,0.051603,1.996e-04,,,,3.7
6,train,0.046863,1.995e-04,,,,4.3
7,train,0.042298,1.992e-04,,,,4.8
8,train,0.041855,1.989e-04,,,,5.3
9,train,0.041448,1.986e-04,,,,5.8
10,train,0.036592,1.982e-04,,,,6.3
11,train,0.035695,1.978e-04,,,,6.7
12,train,0.033210,1.974e-04,,,,7.3
13,train,0.028174,1.969e-04,,,,7.7
14,train,0.035289,1.963e-04,,,,8.3
15,train,0.024492,1.957e-04,,,,8.7
16,train,0.028815,1.951e-04,,,,9.3
17,train,0.029353,1.944e-04,,,,9.8
18,train,0.031376,1.937e-04,,,,10.2
19,train,0.028253,1.930e-04,,,,10.7
20,train,0.023841,1.922e-04,,,,11.3
21,train,0.023327,1.914e-04,,,,11.7
22,train,0.023249,1.905e-04,,,,12.2
23,train,0.022469,1.896e-04,,,,12.8
24,train,0.019303,1.886e-04,,,,13.3
25,train,0.018623,1.876e-04,,,,13.7
26,train,0.022909,1.866e-04,,,,14.2
27,train,0.037747,1.855e-04,,,,14.7
28,train,0.023472,1.844e-04,,,,15.2
29,train,0.018623,1.833e-04,,,,15.7
30,train,0.022632,1.821e-04,,,,16.2
31,train,0.023823,1.809e-04,,,,16.7
32,train,0.020695,1.797e-04,,,,17.2
33,train,0.022649,1.784e-04,,,,17.6
34,train,0.022666,1.771e-04,,,,18.2
35,train,0.015904,1.757e-04,,,,18.7
36,train,0.025995,1.743e-04,,,,19.2
37,train,0.017736,1.729e-04,,,,19.7
38,train,0.021135,1.714e-04,,,,20.2
39,train,0.019518,1.700e-04,,,,20.7
40,train,0.024594,1.685e-04,,,,21.3
41,train,0.022025,1.669e-04,,,,21.8
42,train,0.025868,1.653e-04,,,,22.3
43,train,0.024266,1.637e-04,,,,22.8
44,train,0.027571,1.621e-04,,,,23.3
45,train,0.011919,1.605e-04,,,,23.9
46,train,0.018928,1.588e-04,,,,24.4
47,train,0.019052,1.571e-04,,,,24.9
48,train,0.026721,1.553e-04,,,,25.4
49,train,0.021743,1.536e-04,,,,25.9
50,train,0.020553,1.518e-04,,,,26.3
51,train,0.018542,1.500e-04,,,,26.9
52,train,0.023421,1.482e-04,,,,27.4
53,train,0.012624,1.463e-04,,,,27.9
54,train,0.019888,1.445e-04,,,,28.4
55,train,0.016329,1.426e-04,,,,28.8
56,train,0.019778,1.407e-04,,,,29.3
57,train,0.018246,1.388e-04,,,,29.9
58,train,0.024551,1.368e-04,,,,30.4
59,train,0.016699,1.349e-04,,,,31.0
60,train,0.015738,1.329e-04,,,,31.5
61,train,0.018183,1.309e-04,,,,32.0
62,train,0.013728,1.289e-04,,,,32.5
63,train,0.017874,1.269e-04,,,,33.0
64,train,0.016265,1.249e-04,,,,33.5
65,train,0.015299,1.228e-04,,,,34.0
66,train,0.017189,1.208e-04,,,,34.5
67,train,0.024722,1.187e-04,,,,35.0
68,train,0.015476,1.167e-04,,,,35.6
69,train,0.017429,1.146e-04,,,,36.1
70,train,0.022809,1.125e-04,,,,36.6
71,train,0.027924,1.105e-04,,,,37.2
72,train,0.018250,1.084e-04,,,,37.7
73,train,0.020246,1.063e-04,,,,38.2
74,train,0.022467,1.042e-04,,,,38.7
75,train,0.009549,1.021e-04,,,,39.3
76,train,0.016422,1.000e-04,,,,39.8
77,train,0.018049,9.791e-05,,,,40.5
78,train,0.021305,9.581e-05,,,,41.0
79,train,0.017097,9.372e-05,,,,41.5
80,train,0.015089,9.163e-05,,,,42.0
81,train,0.014401,8.955e-05,,,,42.6
82,train,0.020125,8.747e-05,,,,43.2
83,train,0.016661,8.539e-05,,,,43.7
84,train,0.016412,8.332e-05,,,,44.3
85,train,0.012535,8.126e-05,,,,44.8
86,train,0.015945,7.921e-05,,,,45.3
87,train,0.017243,7.716e-05,,,,45.8
88,train,0.018390,7.513e-05,,,,46.4
89,train,0.021335,7.311e-05,,,,47.0
90,train,0.014291,7.110e-05,,,,47.5
91,train,0.011744,6.910e-05,,,,48.0
