iter,split,loss,lr,cpsnr,psnr,ssim,time
1,train,0.137960,2.000e-04,,,,1.6
2,train,0.103296,2.000e-04,,,,2.1
3,train,0.084067,1.999e-04,,,,2.6
4,train,0.073433,1.998e-04,,,,3.2
5,train,0.059576,1.996e-04,,,,3.7
6,train,0.053593,1.995e-04,,,,4.3
7,train,0.048154,1.992e-04,,,,4.8
8,train,0.047912,1.989e-04,,,,5.5
9,train,0.045844,1.986e-04,,,,6.0
10,train,0.039457,1.982e-04,,,,6.5
11,train,0.036601,1.978e-04,,,,7.1
12,train,0.036222,1.974e-04,,,,7.8
13,train,0.032275,1.969e-04,,,,8.4
14,train,0.039328,1.963e-04,,,,9.0
15,train,0.028914,1.957e-04,,,,9.5
16,train,0.032290,1.951e-04,,,,10.2
17,train,0.035081,1.944e-04,,,,10.8
18,train,0.035372,1.937e-04,,,,11.3
19,train,0.032019,1.930e-04,,,,11.9
20,train,0.026979,1.922e-04,,,,12.5
21,train,0.027005,1.914e-04,,,,13.0
22,train,0.026686,1.905e-04,,,,13.6
23,train,0.025670,1.896e-04,,,,14.1
24,train,0.022145,1.886e-04,,,,14.7
25,train,0.021169,1.876e-04,,,,15.3
26,train,0.025665,1.866e-04,,,,15.8
27,train,0.040175,1.855e-04,,,,16.4
28,train,0.026572,1.844e-04,,,,17.0
29,train,0.021384,1.833e-04,,,,17.6
30,train,0.025501,1.821e-04,,,,18.2
31,train,0.026190,1.809e-04,,,,18.7
32,train,0.022991,1.797e-04,,,,19.2
33,train,0.024634,1.784e-04,,,,19.7
34,train,0.024646,1.771e-04,,,,20.3
35,train,0.018096,1.757e-04,,,,20.8
36,train,0.027888,1.743e-04,,,,21.4
37,train,0.019538,1.729e-04,,,,21.9
38,train,0.023347,1.714e-04,,,,22.4
39,train,0.021202,1.700e-04,,,,22.9
40,train,0.026418,1.685e-04,,,,23.5
41,train,0.023484,1.669e-04,,,,24.0
42,train,0.027459,1.653e-04,,,,24.5
43,train,0.025808,1.637e-04,,,,25.1
