iter,split,loss,lr,cpsnr,psnr,ssim,time
1,train,0.132514,2.000e-04,,,,1.6
2,train,0.101963,2.000e-04,,,,2.0
3,train,0.073735,1.999e-04,,,,2.5
4,train,0.065190,1.998e-04,,,,3.0
5,train,0.049949,1.996e-04,,,,3.5
6,train,0.048900,1.995e-04,,,,4.1
7,train,0.045212,1.992e-04,,,,4.6
8,train,0.047410,1.989e-04,,,,5.2
9,train,0.047413,1.986e-04,,,,5.7
10,train,0.042552,1.982e-04,,,,6.2
11,train,0.042996,1.978e-04,,,,6.7
12,train,0.039708,1.974e-04,,,,7.2
13,train,0.035754,1.969e-04,,,,7.7
14,train,0.041893,1.963e-04,,,,8.2
15,train,0.031264,1.957e-04,,,,8.7
16,train,0.033829,1.951e-04,,,,9.3
17,train,0.031517,1.944e-04,,,,9.8
18,train,0.033129,1.937e-04,,,,10.3
19,train,0.031451,1.930e-04,,,,10.9
20,train,0.028430,1.922e-04,,,,11.4
21,train,0.026832,1.914e-04,,,,11.9
22,train,0.026320,1.905e-04,,,,12.4
23,train,0.025885,1.896e-04,,,,12.9
24,train,0.023316,1.886e-04,,,,13.4
25,train,0.021441,1.876e-04,,,,13.9
26,train,0.026133,1.866e-04,,,,14.4
27,train,0.039615,1.855e-04,,,,14.9
28,train,0.025911,1.844e-04,,,,15.4
29,train,0.021023,1.833e-04,,,,15.8
30,train,0.024685,1.821e-04,,,,16.3
31,train,0.025688,1.809e-04,,,,16.9
32,train,0.022790,1.797e-04,,,,17.4
33,train,0.024480,1.784e-04,,,,17.8
34,train,0.024327,1.771e-04,,,,18.3
35,train,0.018580,1.757e-04,,,,18.8
36,train,0.027622,1.743e-04,,,,19.3
37,train,0.019391,1.729e-04,,,,19.9
38,train,0.023023,1.714e-04,,,,20.3
39,train,0.021223,1.700e-04,,,,20.9
40,train,0.025758,1.685e-04,,,,21.4
41,train,0.023223,1.669e-04,,,,21.9
42,train,0.026992,1.653e-04,,,,22.4
43,train,0.026208,1.637e-04,,,,22.9
